GO,n_genes,TERM,contrast,term_label
GO:0006888,9,endoplasmic reticulum to Golgi vesicle-mediated transport,thin_vs_early,endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0006897,9,endocytosis,thin_vs_early,endocytosis
GO:0008645,9,hexose transmembrane transport,thin_vs_early,hexose transmembrane transport
GO:0015986,9,proton motive force-driven ATP synthesis,thin_vs_early,proton motive force-driven ATP synthesis
GO:0016126,9,sterol biosynthetic process,thin_vs_early,sterol biosynthetic process
GO:0034605,9,cellular response to heat,thin_vs_early,cellular response to heat
GO:0098869,9,cellular oxidant detoxification,thin_vs_early,cellular oxidant detoxification
GO:0000086,8,G2/M transition of mitotic cell cycle,thin_vs_early,G2/M transition of mitotic cell cycle
GO:0006511,8,ubiquitin-dependent protein catabolic process,thin_vs_early,ubiquitin-dependent protein catabolic process
GO:0006633,8,fatty acid biosynthetic process,thin_vs_early,fatty acid biosynthetic process
GO:0006826,8,iron ion transport,thin_vs_early,iron ion transport
GO:0007131,8,reciprocal meiotic recombination,thin_vs_early,reciprocal meiotic recombination
GO:0030437,8,ascospore formation,thin_vs_early,ascospore formation
GO:0030476,8,ascospore wall assembly,thin_vs_early,ascospore wall assembly
GO:0044238,8,primary metabolic process,thin_vs_early,primary metabolic process
GO:0000097,7,sulfur amino acid biosynthetic process,thin_vs_early,sulfur amino acid biosynthetic process
GO:0000422,7,autophagy of mitochondrion,thin_vs_early,autophagy of mitochondrion
GO:0006123,7,"mitochondrial electron transport, cytochrome c to oxygen",thin_vs_early,"mitochondrial electron transport, cytochrome c to oxygen"
GO:0006351,7,DNA-templated transcription,thin_vs_early,DNA-templated transcription
GO:0006397,7,mRNA processing,thin_vs_early,mRNA processing
GO:0006508,7,proteolysis,thin_vs_early,proteolysis
GO:0006550,7,L-isoleucine catabolic process,thin_vs_early,L-isoleucine catabolic process
GO:0006569,7,L-tryptophan catabolic process,thin_vs_early,L-tryptophan catabolic process
GO:0006694,7,steroid biosynthetic process,thin_vs_early,steroid biosynthetic process
GO:0006869,7,lipid transport,thin_vs_early,lipid transport
GO:0007052,7,mitotic spindle organization,thin_vs_early,mitotic spindle organization
GO:0007165,7,signal transduction,thin_vs_early,signal transduction
GO:0008033,7,tRNA processing,thin_vs_early,tRNA processing
GO:0008202,7,steroid metabolic process,thin_vs_early,steroid metabolic process
GO:0009086,7,methionine biosynthetic process,thin_vs_early,methionine biosynthetic process
GO:0016236,7,macroautophagy,thin_vs_early,macroautophagy
GO:0036503,7,ERAD pathway,thin_vs_early,ERAD pathway
GO:0042026,7,protein refolding,thin_vs_early,protein refolding
GO:0042273,7,ribosomal large subunit biogenesis,thin_vs_early,ribosomal large subunit biogenesis
GO:0000027,6,ribosomal large subunit assembly,thin_vs_early,ribosomal large subunit assembly
GO:0006013,6,mannose metabolic process,thin_vs_early,mannose metabolic process
GO:0006097,6,glyoxylate cycle,thin_vs_early,glyoxylate cycle
GO:0006119,6,oxidative phosphorylation,thin_vs_early,oxidative phosphorylation
GO:0006325,6,chromatin organization,thin_vs_early,chromatin organization
GO:0006414,6,translational elongation,thin_vs_early,translational elongation
GO:0006574,6,L-valine catabolic process,thin_vs_early,L-valine catabolic process
GO:0006749,6,glutathione metabolic process,thin_vs_early,glutathione metabolic process
GO:0006879,6,intracellular iron ion homeostasis,thin_vs_early,intracellular iron ion homeostasis
GO:0006915,6,apoptotic process,thin_vs_early,apoptotic process
GO:0007005,6,mitochondrion organization,thin_vs_early,mitochondrion organization
GO:0008361,6,regulation of cell size,thin_vs_early,regulation of cell size
GO:0008608,6,attachment of spindle microtubules to kinetochore,thin_vs_early,attachment of spindle microtubules to kinetochore
GO:0008654,6,phospholipid biosynthetic process,thin_vs_early,phospholipid biosynthetic process
GO:0009051,6,"pentose-phosphate shunt, oxidative branch",thin_vs_early,"pentose-phosphate shunt, oxidative branch"
GO:0009083,6,branched-chain amino acid catabolic process,thin_vs_early,branched-chain amino acid catabolic process
GO:0009228,6,thiamine biosynthetic process,thin_vs_early,thiamine biosynthetic process
GO:0015918,6,sterol transport,thin_vs_early,sterol transport
GO:0016226,6,iron-sulfur cluster assembly,thin_vs_early,iron-sulfur cluster assembly
GO:0030150,6,protein import into mitochondrial matrix,thin_vs_early,protein import into mitochondrial matrix
GO:0035556,6,intracellular signal transduction,thin_vs_early,intracellular signal transduction
GO:0042407,6,cristae formation,thin_vs_early,cristae formation
GO:0045039,6,protein insertion into mitochondrial inner membrane,thin_vs_early,protein insertion into mitochondrial inner membrane
GO:0065003,6,protein-containing complex assembly,thin_vs_early,protein-containing complex assembly
GO:0001403,5,invasive growth in response to glucose limitation,thin_vs_early,invasive growth in response to glucose limitation
GO:0006071,5,glycerol metabolic process,thin_vs_early,glycerol metabolic process
GO:0006114,5,glycerol biosynthetic process,thin_vs_early,glycerol biosynthetic process
GO:0006260,5,DNA replication,thin_vs_early,DNA replication
GO:0006310,5,DNA recombination,thin_vs_early,DNA recombination
GO:0006338,5,chromatin remodeling,thin_vs_early,chromatin remodeling
GO:0006559,5,L-phenylalanine catabolic process,thin_vs_early,L-phenylalanine catabolic process
GO:0006572,5,L-tyrosine catabolic process,thin_vs_early,L-tyrosine catabolic process
GO:0006979,5,response to oxidative stress,thin_vs_early,response to oxidative stress
GO:0007015,5,actin filament organization,thin_vs_early,actin filament organization
GO:0007039,5,protein catabolic process in the vacuole,thin_vs_early,protein catabolic process in the vacuole
GO:0007064,5,mitotic sister chromatid cohesion,thin_vs_early,mitotic sister chromatid cohesion
GO:0007089,5,traversing start control point of mitotic cell cycle,thin_vs_early,traversing start control point of mitotic cell cycle
GO:0007124,5,pseudohyphal growth,thin_vs_early,pseudohyphal growth
GO:0008610,5,lipid biosynthetic process,thin_vs_early,lipid biosynthetic process
GO:0009267,5,cellular response to starvation,thin_vs_early,cellular response to starvation
GO:0009410,5,response to xenobiotic stimulus,thin_vs_early,response to xenobiotic stimulus
GO:0015677,5,copper ion import,thin_vs_early,copper ion import
GO:0015914,5,phospholipid transport,thin_vs_early,phospholipid transport
GO:0016042,5,lipid catabolic process,thin_vs_early,lipid catabolic process
GO:0016558,5,protein import into peroxisome matrix,thin_vs_early,protein import into peroxisome matrix
GO:0019344,5,cysteine biosynthetic process,thin_vs_early,cysteine biosynthetic process
GO:0019367,5,"fatty acid elongation, saturated fatty acid",thin_vs_early,"fatty acid elongation, saturated fatty acid"
GO:0019395,5,fatty acid oxidation,thin_vs_early,fatty acid oxidation
GO:0019563,5,glycerol catabolic process,thin_vs_early,glycerol catabolic process
GO:0019655,5,glycolytic fermentation to ethanol,thin_vs_early,glycolytic fermentation to ethanol
GO:0030148,5,sphingolipid biosynthetic process,thin_vs_early,sphingolipid biosynthetic process
GO:0031116,5,positive regulation of microtubule polymerization,thin_vs_early,positive regulation of microtubule polymerization
GO:0051156,5,glucose 6-phosphate metabolic process,thin_vs_early,glucose 6-phosphate metabolic process
GO:0051453,5,regulation of intracellular pH,thin_vs_early,regulation of intracellular pH
GO:0051726,5,regulation of cell cycle,thin_vs_early,regulation of cell cycle
GO:1904659,5,D-glucose transmembrane transport,thin_vs_early,D-glucose transmembrane transport
GO:0000023,4,maltose metabolic process,thin_vs_early,maltose metabolic process
GO:0000054,4,ribosomal subunit export from nucleus,thin_vs_early,ribosomal subunit export from nucleus
GO:0000103,4,sulfate assimilation,thin_vs_early,sulfate assimilation
GO:0000272,4,polysaccharide catabolic process,thin_vs_early,polysaccharide catabolic process
GO:0000398,4,"mRNA splicing, via spliceosome",thin_vs_early,"mRNA splicing, via spliceosome"
GO:0000423,4,mitophagy,thin_vs_early,mitophagy
GO:0000425,4,pexophagy,thin_vs_early,pexophagy
GO:0000463,4,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",thin_vs_early,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000724,4,double-strand break repair via homologous recombination,thin_vs_early,double-strand break repair via homologous recombination
GO:0000920,4,septum digestion after cytokinesis,thin_vs_early,septum digestion after cytokinesis
GO:0000949,4,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway,thin_vs_early,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
GO:0000955,4,amino acid catabolic process via Ehrlich pathway,thin_vs_early,amino acid catabolic process via Ehrlich pathway
GO:0001678,4,intracellular glucose homeostasis,thin_vs_early,intracellular glucose homeostasis
GO:0001932,4,regulation of protein phosphorylation,thin_vs_early,regulation of protein phosphorylation
GO:0005978,4,glycogen biosynthetic process,thin_vs_early,glycogen biosynthetic process
GO:0005987,4,sucrose catabolic process,thin_vs_early,sucrose catabolic process
GO:0005992,4,trehalose biosynthetic process,thin_vs_early,trehalose biosynthetic process
GO:0006072,4,glycerol-3-phosphate metabolic process,thin_vs_early,glycerol-3-phosphate metabolic process
GO:0006078,4,(1->6)-beta-D-glucan biosynthetic process,thin_vs_early,(1->6)-beta-D-glucan biosynthetic process
GO:0006302,4,double-strand break repair,thin_vs_early,double-strand break repair
GO:0006360,4,transcription by RNA polymerase I,thin_vs_early,transcription by RNA polymerase I
GO:0006366,4,transcription by RNA polymerase II,thin_vs_early,transcription by RNA polymerase II
GO:0006368,4,transcription elongation by RNA polymerase II,thin_vs_early,transcription elongation by RNA polymerase II
GO:0006409,4,tRNA export from nucleus,thin_vs_early,tRNA export from nucleus
GO:0006520,4,amino acid metabolic process,thin_vs_early,amino acid metabolic process
GO:0006552,4,L-leucine catabolic process,thin_vs_early,L-leucine catabolic process
GO:0006612,4,protein targeting to membrane,thin_vs_early,protein targeting to membrane
GO:0006616,4,"SRP-dependent cotranslational protein targeting to membrane, translocation",thin_vs_early,"SRP-dependent cotranslational protein targeting to membrane, translocation"
GO:0006621,4,protein retention in ER lumen,thin_vs_early,protein retention in ER lumen
GO:0006623,4,protein targeting to vacuole,thin_vs_early,protein targeting to vacuole
GO:0006635,4,fatty acid beta-oxidation,thin_vs_early,fatty acid beta-oxidation
GO:0006654,4,phosphatidic acid biosynthetic process,thin_vs_early,phosphatidic acid biosynthetic process
GO:0006817,4,phosphate ion transport,thin_vs_early,phosphate ion transport
GO:0006825,4,copper ion transport,thin_vs_early,copper ion transport
GO:0006970,4,response to osmotic stress,thin_vs_early,response to osmotic stress
GO:0006986,4,response to unfolded protein,thin_vs_early,response to unfolded protein
GO:0007094,4,mitotic spindle assembly checkpoint signaling,thin_vs_early,mitotic spindle assembly checkpoint signaling
GO:0008380,4,RNA splicing,thin_vs_early,RNA splicing
GO:0009052,4,"pentose-phosphate shunt, non-oxidative branch",thin_vs_early,"pentose-phosphate shunt, non-oxidative branch"
GO:0009165,4,nucleotide biosynthetic process,thin_vs_early,nucleotide biosynthetic process
GO:0009435,4,NAD+ biosynthetic process,thin_vs_early,NAD+ biosynthetic process
GO:0015891,4,siderophore transport,thin_vs_early,siderophore transport
GO:0016036,4,cellular response to phosphate starvation,thin_vs_early,cellular response to phosphate starvation
GO:0016567,4,protein ubiquitination,thin_vs_early,protein ubiquitination
GO:0019309,4,mannose catabolic process,thin_vs_early,mannose catabolic process
GO:0019752,4,carboxylic acid metabolic process,thin_vs_early,carboxylic acid metabolic process
GO:0030036,4,actin cytoskeleton organization,thin_vs_early,actin cytoskeleton organization
GO:0030497,4,fatty acid elongation,thin_vs_early,fatty acid elongation
GO:0030968,4,endoplasmic reticulum unfolded protein response,thin_vs_early,endoplasmic reticulum unfolded protein response
GO:0031204,4,"post-translational protein targeting to membrane, translocation",thin_vs_early,"post-translational protein targeting to membrane, translocation"
GO:0032259,4,methylation,thin_vs_early,methylation
GO:0033617,4,mitochondrial cytochrome c oxidase assembly,thin_vs_early,mitochondrial cytochrome c oxidase assembly
GO:0034087,4,establishment of mitotic sister chromatid cohesion,thin_vs_early,establishment of mitotic sister chromatid cohesion
GO:0034727,4,piecemeal microautophagy of the nucleus,thin_vs_early,piecemeal microautophagy of the nucleus
GO:0042149,4,cellular response to glucose starvation,thin_vs_early,cellular response to glucose starvation
GO:0043101,4,purine-containing compound salvage,thin_vs_early,purine-containing compound salvage
GO:0043161,4,proteasome-mediated ubiquitin-dependent protein catabolic process,thin_vs_early,proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0044281,4,small molecule metabolic process,thin_vs_early,small molecule metabolic process
GO:0045151,4,acetoin biosynthetic process,thin_vs_early,acetoin biosynthetic process
GO:0045454,4,cell redox homeostasis,thin_vs_early,cell redox homeostasis
GO:0046417,4,chorismate metabolic process,thin_vs_early,chorismate metabolic process
GO:0046835,4,carbohydrate phosphorylation,thin_vs_early,carbohydrate phosphorylation
GO:0051603,4,proteolysis involved in protein catabolic process,thin_vs_early,proteolysis involved in protein catabolic process
GO:0051987,4,positive regulation of attachment of spindle microtubules to kinetochore,thin_vs_early,positive regulation of attachment of spindle microtubules to kinetochore
GO:0061621,4,canonical glycolysis,thin_vs_early,canonical glycolysis
GO:0061709,4,reticulophagy,thin_vs_early,reticulophagy
GO:0070814,4,hydrogen sulfide biosynthetic process,thin_vs_early,hydrogen sulfide biosynthetic process
GO:0120009,4,intermembrane lipid transfer,thin_vs_early,intermembrane lipid transfer
GO:1902652,4,secondary alcohol metabolic process,thin_vs_early,secondary alcohol metabolic process
GO:1904750,4,negative regulation of protein localization to nucleolus,thin_vs_early,negative regulation of protein localization to nucleolus
GO:1990961,4,xenobiotic detoxification by transmembrane export across the plasma membrane,thin_vs_early,xenobiotic detoxification by transmembrane export across the plasma membrane
GO:0000025,3,maltose catabolic process,thin_vs_early,maltose catabolic process
GO:0000032,3,cell wall mannoprotein biosynthetic process,thin_vs_early,cell wall mannoprotein biosynthetic process
GO:0000045,3,autophagosome assembly,thin_vs_early,autophagosome assembly
GO:0000055,3,ribosomal large subunit export from nucleus,thin_vs_early,ribosomal large subunit export from nucleus
GO:0000096,3,sulfur amino acid metabolic process,thin_vs_early,sulfur amino acid metabolic process
GO:0000128,3,flocculation,thin_vs_early,flocculation
GO:0000209,3,protein polyubiquitination,thin_vs_early,protein polyubiquitination
GO:0000226,3,microtubule cytoskeleton organization,thin_vs_early,microtubule cytoskeleton organization
GO:0000256,3,allantoin catabolic process,thin_vs_early,allantoin catabolic process
GO:0000278,3,mitotic cell cycle,thin_vs_early,mitotic cell cycle
GO:0000281,3,mitotic cytokinesis,thin_vs_early,mitotic cytokinesis
GO:0000747,3,conjugation with cellular fusion,thin_vs_early,conjugation with cellular fusion
GO:0000750,3,pheromone-dependent signal transduction involved in conjugation with cellular fusion,thin_vs_early,pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000753,3,cell morphogenesis involved in conjugation with cellular fusion,thin_vs_early,cell morphogenesis involved in conjugation with cellular fusion
GO:0006067,3,ethanol metabolic process,thin_vs_early,ethanol metabolic process
GO:0006068,3,ethanol catabolic process,thin_vs_early,ethanol catabolic process
GO:0006081,3,aldehyde metabolic process,thin_vs_early,aldehyde metabolic process
GO:0006122,3,"mitochondrial electron transport, ubiquinol to cytochrome c",thin_vs_early,"mitochondrial electron transport, ubiquinol to cytochrome c"
GO:0006139,3,nucleobase-containing compound metabolic process,thin_vs_early,nucleobase-containing compound metabolic process
GO:0006144,3,purine nucleobase metabolic process,thin_vs_early,purine nucleobase metabolic process
GO:0006298,3,mismatch repair,thin_vs_early,mismatch repair
GO:0006312,3,mitotic recombination,thin_vs_early,mitotic recombination
GO:0006383,3,transcription by RNA polymerase III,thin_vs_early,transcription by RNA polymerase III
GO:0006396,3,RNA processing,thin_vs_early,RNA processing
GO:0006406,3,mRNA export from nucleus,thin_vs_early,mRNA export from nucleus
GO:0006413,3,translational initiation,thin_vs_early,translational initiation
GO:0006486,3,protein glycosylation,thin_vs_early,protein glycosylation
GO:0006527,3,L-arginine catabolic process,thin_vs_early,L-arginine catabolic process
GO:0006606,3,protein import into nucleus,thin_vs_early,protein import into nucleus
GO:0006665,3,sphingolipid metabolic process,thin_vs_early,sphingolipid metabolic process
GO:0006740,3,NADPH regeneration,thin_vs_early,NADPH regeneration
GO:0006857,3,oligopeptide transport,thin_vs_early,oligopeptide transport
GO:0006887,3,exocytosis,thin_vs_early,exocytosis
GO:0006890,3,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",thin_vs_early,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
GO:0006892,3,post-Golgi vesicle-mediated transport,thin_vs_early,post-Golgi vesicle-mediated transport
GO:0006895,3,Golgi to endosome transport,thin_vs_early,Golgi to endosome transport
GO:0007020,3,microtubule nucleation,thin_vs_early,microtubule nucleation
GO:0007030,3,Golgi organization,thin_vs_early,Golgi organization
GO:0007130,3,synaptonemal complex assembly,thin_vs_early,synaptonemal complex assembly
GO:0007155,3,cell adhesion,thin_vs_early,cell adhesion
GO:0008299,3,isoprenoid biosynthetic process,thin_vs_early,isoprenoid biosynthetic process
GO:0009082,3,branched-chain amino acid biosynthetic process,thin_vs_early,branched-chain amino acid biosynthetic process
GO:0009098,3,L-leucine biosynthetic process,thin_vs_early,L-leucine biosynthetic process
GO:0009101,3,glycoprotein biosynthetic process,thin_vs_early,glycoprotein biosynthetic process
GO:0010467,3,gene expression,thin_vs_early,gene expression
GO:0010507,3,negative regulation of autophagy,thin_vs_early,negative regulation of autophagy
GO:0010508,3,positive regulation of autophagy,thin_vs_early,positive regulation of autophagy
GO:0010696,3,positive regulation of mitotic spindle pole body separation,thin_vs_early,positive regulation of mitotic spindle pole body separation
GO:0015750,3,pentose transmembrane transport,thin_vs_early,pentose transmembrane transport
GO:0015795,3,sorbitol transmembrane transport,thin_vs_early,sorbitol transmembrane transport
GO:0015797,3,mannitol transmembrane transport,thin_vs_early,mannitol transmembrane transport
GO:0015802,3,basic amino acid transport,thin_vs_early,basic amino acid transport
GO:0015833,3,peptide transport,thin_vs_early,peptide transport
GO:0015851,3,nucleobase transport,thin_vs_early,nucleobase transport
GO:0016239,3,positive regulation of macroautophagy,thin_vs_early,positive regulation of macroautophagy
GO:0018105,3,peptidyl-serine phosphorylation,thin_vs_early,peptidyl-serine phosphorylation
GO:0019236,3,response to pheromone,thin_vs_early,response to pheromone
GO:0019318,3,hexose metabolic process,thin_vs_early,hexose metabolic process
GO:0019363,3,pyridine nucleotide biosynthetic process,thin_vs_early,pyridine nucleotide biosynthetic process
GO:0019379,3,"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)",thin_vs_early,"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"
GO:0019430,3,removal of superoxide radicals,thin_vs_early,removal of superoxide radicals
GO:0019509,3,L-methionine salvage from methylthioadenosine,thin_vs_early,L-methionine salvage from methylthioadenosine
GO:0019740,3,nitrogen utilization,thin_vs_early,nitrogen utilization
GO:0030447,3,filamentous growth,thin_vs_early,filamentous growth
GO:0031536,3,positive regulation of exit from mitosis,thin_vs_early,positive regulation of exit from mitosis
GO:0032120,3,ascospore-type prospore membrane formation,thin_vs_early,ascospore-type prospore membrane formation
GO:0032258,3,cytoplasm to vacuole targeting by the Cvt pathway,thin_vs_early,cytoplasm to vacuole targeting by the Cvt pathway
GO:0032780,3,negative regulation of ATP-dependent activity,thin_vs_early,negative regulation of ATP-dependent activity
GO:0033615,3,mitochondrial proton-transporting ATP synthase complex assembly,thin_vs_early,mitochondrial proton-transporting ATP synthase complex assembly
GO:0034198,3,cellular response to amino acid starvation,thin_vs_early,cellular response to amino acid starvation
GO:0034976,3,response to endoplasmic reticulum stress,thin_vs_early,response to endoplasmic reticulum stress
GO:0035434,3,copper ion transmembrane transport,thin_vs_early,copper ion transmembrane transport
GO:0035435,3,phosphate ion transmembrane transport,thin_vs_early,phosphate ion transmembrane transport
GO:0035524,3,proline transmembrane transport,thin_vs_early,proline transmembrane transport
GO:0035753,3,maintenance of DNA trinucleotide repeats,thin_vs_early,maintenance of DNA trinucleotide repeats
GO:0042147,3,"retrograde transport, endosome to Golgi",thin_vs_early,"retrograde transport, endosome to Golgi"
GO:0042274,3,ribosomal small subunit biogenesis,thin_vs_early,ribosomal small subunit biogenesis
GO:0042744,3,hydrogen peroxide catabolic process,thin_vs_early,hydrogen peroxide catabolic process
GO:0042776,3,proton motive force-driven mitochondrial ATP synthesis,thin_vs_early,proton motive force-driven mitochondrial ATP synthesis
GO:0042797,3,tRNA transcription by RNA polymerase III,thin_vs_early,tRNA transcription by RNA polymerase III
GO:0043248,3,proteasome assembly,thin_vs_early,proteasome assembly
GO:0043328,3,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,thin_vs_early,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0044182,3,filamentous growth of a population of unicellular organisms,thin_vs_early,filamentous growth of a population of unicellular organisms
GO:0044772,3,mitotic cell cycle phase transition,thin_vs_early,mitotic cell cycle phase transition
GO:0044804,3,nucleophagy,thin_vs_early,nucleophagy
GO:0045943,3,positive regulation of transcription by RNA polymerase I,thin_vs_early,positive regulation of transcription by RNA polymerase I
GO:0046323,3,D-glucose import,thin_vs_early,D-glucose import
GO:0046352,3,disaccharide catabolic process,thin_vs_early,disaccharide catabolic process
GO:0046394,3,carboxylic acid biosynthetic process,thin_vs_early,carboxylic acid biosynthetic process
GO:0051028,3,mRNA transport,thin_vs_early,mRNA transport
GO:0051123,3,RNA polymerase II preinitiation complex assembly,thin_vs_early,RNA polymerase II preinitiation complex assembly
GO:0051666,3,actin cortical patch localization,thin_vs_early,actin cortical patch localization
GO:0060963,3,positive regulation of ribosomal protein gene transcription by RNA polymerase II,thin_vs_early,positive regulation of ribosomal protein gene transcription by RNA polymerase II
GO:0070086,3,ubiquitin-dependent endocytosis,thin_vs_early,ubiquitin-dependent endocytosis
GO:0070301,3,cellular response to hydrogen peroxide,thin_vs_early,cellular response to hydrogen peroxide
GO:0071267,3,L-methionine salvage,thin_vs_early,L-methionine salvage
GO:0071459,3,"protein localization to chromosome, centromeric region",thin_vs_early,"protein localization to chromosome, centromeric region"
GO:0071500,3,cellular response to nitrosative stress,thin_vs_early,cellular response to nitrosative stress
GO:0072488,3,ammonium transmembrane transport,thin_vs_early,ammonium transmembrane transport
GO:0072593,3,reactive oxygen species metabolic process,thin_vs_early,reactive oxygen species metabolic process
GO:0097054,3,L-glutamate biosynthetic process,thin_vs_early,L-glutamate biosynthetic process
GO:0097080,3,plasma membrane selenite transport,thin_vs_early,plasma membrane selenite transport
GO:0000001,2,mitochondrion inheritance,thin_vs_early,mitochondrion inheritance
GO:0000028,2,ribosomal small subunit assembly,thin_vs_early,ribosomal small subunit assembly
GO:0000050,2,urea cycle,thin_vs_early,urea cycle
GO:0000056,2,ribosomal small subunit export from nucleus,thin_vs_early,ribosomal small subunit export from nucleus
GO:0000147,2,actin cortical patch assembly,thin_vs_early,actin cortical patch assembly
GO:0000183,2,rDNA heterochromatin formation,thin_vs_early,rDNA heterochromatin formation
GO:0000184,2,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",thin_vs_early,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000302,2,response to reactive oxygen species,thin_vs_early,response to reactive oxygen species
GO:0000447,2,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",thin_vs_early,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
